<<<<<<< HEAD
16,16,16,16,16,16,16,16,17,10,10,16,16,16,16,16,16,16,16,16
16,17,17,0,0,0,0,0,17,0,0,17,0,0,0,0,0,17,17,16
2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
16,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,16
16,0,0,0,0,0,17,3,3,0,0,3,3,17,0,0,0,0,0,16
17,17,0,0,0,0,0,17,0,0,0,0,3,0,0,0,0,0,17,16
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
17,17,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,17,16
17,0,0,0,0,0,17,3,3,0,0,3,3,17,0,0,0,0,0,16
17,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,16
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16
17,17,17,0,0,0,0,0,17,0,0,17,0,0,0,0,0,17,17,16
17,17,17,17,17,17,17,17,17,10,10,17,17,17,17,17,3,3,3,3
=======
16,16,16,16,16,16,16,16,17,0,0,16,16,16,16,16,16,16,16,16
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2,0,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,0,16
16,0,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,0,16
16,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,16
16,0,2,2,0,0,0,3,3,0,0,3,3,0,0,0,2,2,0,16
17,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,16
17,0,2,2,0,0,0,3,3,0,0,3,3,0,0,0,2,2,0,16
17,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,16
16,0,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,0,16
17,0,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,0,16
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
17,17,17,17,17,17,17,17,17,0,0,17,17,17,17,17,3,3,3,3
>>>>>>> 4408eb26b8d0447b2ce6440ffa9c2bebb5951f7a
